 public | ossys_activation               | foreign table | postgres
 public | ossys_apistatus                | foreign table | postgres
 public | ossys_app_definition_module    | foreign table | postgres
 public | ossys_app_forge                | foreign table | postgres
 public | ossys_app_param_binary         | foreign table | postgres
 public | ossys_app_parameter            | foreign table | postgres
 public | ossys_app_template_icon        | foreign table | postgres
 public | ossys_app_version              | foreign table | postgres
 public | ossys_app_version_module_versi | foreign table | postgres
 public | ossys_application              | foreign table | postgres
 public | ossys_application_icon         | foreign table | postgres
 public | ossys_application_template     | foreign table | postgres
 public | ossys_area                     | foreign table | postgres
 public | ossys_area_entry_point         | foreign table | postgres
 public | ossys_assembly                 | foreign table | postgres
 public | ossys_assembly_dependency      | foreign table | postgres
 public | ossys_async_op_dbcatalog       | foreign table | postgres
 public | ossys_async_op_logicaldatabase | foreign table | postgres
 public | ossys_async_op_message         | foreign table | postgres
 public | ossys_async_op_state           | foreign table | postgres
 public | ossys_async_operation_sodetail | foreign table | postgres
 public | ossys_authprovider             | foreign table | postgres
 public | ossys_authproviderproperties   | foreign table | postgres
 public | ossys_authsupportedproperties  | foreign table | postgres
 public | ossys_basic_type               | foreign table | postgres
 public | ossys_bpm_activity             | foreign table | postgres
 public | ossys_bpm_activity_def_lang    | foreign table | postgres
 public | ossys_bpm_activity_def_link    | foreign table | postgres
 public | ossys_bpm_activity_def_role    | foreign table | postgres
 public | ossys_bpm_activity_definition  | foreign table | postgres
 public | ossys_bpm_activity_kind        | foreign table | postgres
 public | ossys_bpm_activity_output      | foreign table | postgres
 public | ossys_bpm_activity_output_def  | foreign table | postgres
 public | ossys_bpm_activity_status      | foreign table | postgres
 public | ossys_bpm_activity_t1          | foreign table | postgres
 public | ossys_bpm_activity_t11         | foreign table | postgres
 public | ossys_bpm_activity_t15         | foreign table | postgres
 public | ossys_bpm_activity_t50         | foreign table | postgres
 public | ossys_bpm_activity_t71         | foreign table | postgres
 public | ossys_bpm_activity_t79         | foreign table | postgres
 public | ossys_bpm_activity_t80         | foreign table | postgres
 public | ossys_bpm_activity_t81         | foreign table | postgres
 public | ossys_bpm_event_queue          | foreign table | postgres
 public | ossys_bpm_event_queue_tmp      | foreign table | postgres
 public | ossys_bpm_process              | foreign table | postgres
 public | ossys_bpm_process_def_lang     | foreign table | postgres
 public | ossys_bpm_process_definition   | foreign table | postgres
 public | ossys_bpm_process_dependency   | foreign table | postgres
 public | ossys_bpm_process_input        | foreign table | postgres
 public | ossys_bpm_process_input_def    | foreign table | postgres
 public | ossys_bpm_process_output       | foreign table | postgres
 public | ossys_bpm_process_output_def   | foreign table | postgres
 public | ossys_bpm_process_status       | foreign table | postgres
 public | ossys_bpm_process_t1           | foreign table | postgres
 public | ossys_bpm_process_t11          | foreign table | postgres
 public | ossys_bpm_process_t15          | foreign table | postgres
 public | ossys_bpm_process_t50          | foreign table | postgres
 public | ossys_bpm_process_t71          | foreign table | postgres
 public | ossys_bpm_process_t79          | foreign table | postgres
 public | ossys_bpm_process_t80          | foreign table | postgres
 public | ossys_bpm_process_t81          | foreign table | postgres
 public | ossys_bpm_process_upgrade      | foreign table | postgres
 public | ossys_callback                 | foreign table | postgres
 public | ossys_callback_excludedapp     | foreign table | postgres
 public | ossys_callback_excludedespace  | foreign table | postgres
 public | ossys_callbacklocation         | foreign table | postgres
 public | ossys_callbacktype             | foreign table | postgres
 public | ossys_certificate              | foreign table | postgres
 public | ossys_cloudprovidertype        | foreign table | postgres
 public | ossys_commitmessage            | foreign table | postgres
 public | ossys_custom_attribute         | foreign table | postgres
 public | ossys_cyclic_job               | foreign table | postgres
 public | ossys_cyclic_job_shared        | foreign table | postgres
 public | ossys_cyclic_job_t1            | foreign table | postgres
 public | ossys_cyclic_job_t11           | foreign table | postgres
 public | ossys_cyclic_job_t15           | foreign table | postgres
 public | ossys_cyclic_job_t50           | foreign table | postgres
 public | ossys_cyclic_job_t71           | foreign table | postgres
 public | ossys_cyclic_job_t79           | foreign table | postgres
 public | ossys_cyclic_job_t80           | foreign table | postgres
 public | ossys_cyclic_job_t81           | foreign table | postgres
 public | ossys_dbcatalog                | foreign table | postgres
 public | ossys_dbconnection             | foreign table | postgres
 public | ossys_dbms                     | foreign table | postgres
 public | ossys_debug_session_data       | foreign table | postgres
 public | ossys_deployphase              | foreign table | postgres
 public | ossys_developer                | foreign table | postgres
 public | ossys_developer_application    | foreign table | postgres
 public | ossys_developer_dbcatalog      | foreign table | postgres
 public | ossys_developer_dbconnection   | foreign table | postgres
 public | ossys_developer_espace         | foreign table | postgres
 public | ossys_developer_extension      | foreign table | postgres
 public | ossys_developer_operation      | foreign table | postgres
 public | ossys_developer_operation_type | foreign table | postgres
 public | ossys_developer_solution       | foreign table | postgres
 public | ossys_email                    | foreign table | postgres
 public | ossys_email_cont_t1            | foreign table | postgres
 public | ossys_email_cont_t11           | foreign table | postgres
 public | ossys_email_cont_t15           | foreign table | postgres
 public | ossys_email_cont_t50           | foreign table | postgres
 public | ossys_email_cont_t71           | foreign table | postgres
 public | ossys_email_cont_t79           | foreign table | postgres
 public | ossys_email_cont_t80           | foreign table | postgres
 public | ossys_email_cont_t81           | foreign table | postgres
 public | ossys_email_content            | foreign table | postgres
 public | ossys_email_definition         | foreign table | postgres
 public | ossys_email_status             | foreign table | postgres
 public | ossys_email_status_label       | foreign table | postgres
 public | ossys_email_status_t1          | foreign table | postgres
 public | ossys_email_status_t11         | foreign table | postgres
 public | ossys_email_status_t15         | foreign table | postgres
 public | ossys_email_status_t50         | foreign table | postgres
 public | ossys_email_status_t71         | foreign table | postgres
 public | ossys_email_status_t79         | foreign table | postgres
 public | ossys_email_status_t80         | foreign table | postgres
 public | ossys_email_status_t81         | foreign table | postgres
 public | ossys_email_status_tmp         | foreign table | postgres
 public | ossys_email_t1                 | foreign table | postgres
 public | ossys_email_t11                | foreign table | postgres
 public | ossys_email_t15                | foreign table | postgres
 public | ossys_email_t50                | foreign table | postgres
 public | ossys_email_t71                | foreign table | postgres
 public | ossys_email_t79                | foreign table | postgres
 public | ossys_email_t80                | foreign table | postgres
 public | ossys_email_t81                | foreign table | postgres
 public | ossys_entity                   | foreign table | postgres
 public | ossys_entity_attr              | foreign table | postgres
 public | ossys_entity_record            | foreign table | postgres
 public | ossys_entity_usage             | foreign table | postgres
 public | ossys_entity_usage_sample      | foreign table | postgres
 public | ossys_espace                   | foreign table | postgres
 public | ossys_espace_configuration     | foreign table | postgres
 public | ossys_espace_entity            | foreign table | postgres
 public | ossys_espace_extension         | foreign table | postgres
 public | ossys_espace_fragments         | foreign table | postgres
 public | ossys_espace_hashset           | foreign table | postgres
 public | ossys_espace_object_count      | foreign table | postgres
 public | ossys_espace_productinfo       | foreign table | postgres
 public | ossys_espace_reference         | foreign table | postgres
 public | ossys_espace_runtime           | foreign table | postgres
 public | ossys_espace_screen            | foreign table | postgres
 public | ossys_espace_screen_param      | foreign table | postgres
 public | ossys_espace_sharedconfig      | foreign table | postgres
 public | ossys_espace_tenant            | foreign table | postgres
 public | ossys_espace_version           | foreign table | postgres
 public | ossys_espace_version_icon      | foreign table | postgres
 public | ossys_espace_version_signature | foreign table | postgres
 public | ossys_event_t1                 | foreign table | postgres
 public | ossys_event_t11                | foreign table | postgres
 public | ossys_event_t15                | foreign table | postgres
 public | ossys_event_t50                | foreign table | postgres
 public | ossys_event_t71                | foreign table | postgres
 public | ossys_event_t79                | foreign table | postgres
 public | ossys_event_t80                | foreign table | postgres
 public | ossys_event_t81                | foreign table | postgres
 public | ossys_extension                | foreign table | postgres
 public | ossys_extension_action_param   | foreign table | postgres
 public | ossys_extension_complexity     | foreign table | postgres
 public | ossys_extension_configuration  | foreign table | postgres
 public | ossys_extension_dbconnection   | foreign table | postgres
 public | ossys_extension_dependency     | foreign table | postgres
 public | ossys_extension_struct_attr    | foreign table | postgres
 public | ossys_extension_struct_attr_st | foreign table | postgres
 public | ossys_extension_version        | foreign table | postgres
 public | ossys_extension_version_sig    | foreign table | postgres
 public | ossys_extensioncommitmessage   | foreign table | postgres
 public | ossys_featurelist              | foreign table | postgres
 public | ossys_group                    | foreign table | postgres
 public | ossys_group_role               | foreign table | postgres
 public | ossys_group_user               | foreign table | postgres
 public | ossys_int_obj_cnt_extrainfo    | foreign table | postgres
 public | ossys_integration              | foreign table | postgres
 public | ossys_integration_obj_count    | foreign table | postgres
 public | ossys_integrationelementtype   | foreign table | postgres
 public | ossys_license_reporttype       | foreign table | postgres
 public | ossys_licensingemaillog        | foreign table | postgres
 public | ossys_log_licenseuserusage     | foreign table | postgres
 public | ossys_meta_cyclic_job          | foreign table | postgres
 public | ossys_module                   | foreign table | postgres
 public | ossys_module_kind              | foreign table | postgres
 public | ossys_module_publicelement     | foreign table | postgres
 public | ossys_module_statusmessagetype | foreign table | postgres
 public | ossys_msisdn_tenant            | foreign table | postgres
 public | ossys_pagemetarule             | foreign table | postgres
 public | ossys_pagerule                 | foreign table | postgres
 public | ossys_parameter                | foreign table | postgres
 public | ossys_pathheader               | foreign table | postgres
 public | ossys_pathrule                 | foreign table | postgres
 public | ossys_pathrulekind             | foreign table | postgres
 public | ossys_permission_area          | foreign table | postgres
 public | ossys_persistent_login         | foreign table | postgres
 public | ossys_physical_number          | foreign table | postgres
 public | ossys_platformsvcs_notifyeven  | foreign table | postgres
 public | ossys_platformsvcs_observer    | foreign table | postgres
 public | ossys_plugintype               | foreign table | postgres
 public | ossys_proc_in_t1               | foreign table | postgres
 public | ossys_proc_in_t11              | foreign table | postgres
 public | ossys_proc_in_t15              | foreign table | postgres
 public | ossys_proc_in_t50              | foreign table | postgres
 public | ossys_proc_in_t71              | foreign table | postgres
 public | ossys_proc_in_t79              | foreign table | postgres
 public | ossys_proc_in_t80              | foreign table | postgres
 public | ossys_proc_in_t81              | foreign table | postgres
 public | ossys_proc_out_t1              | foreign table | postgres
 public | ossys_proc_out_t11             | foreign table | postgres
 public | ossys_proc_out_t15             | foreign table | postgres
 public | ossys_proc_out_t50             | foreign table | postgres
 public | ossys_proc_out_t71             | foreign table | postgres
 public | ossys_proc_out_t79             | foreign table | postgres
 public | ossys_proc_out_t80             | foreign table | postgres
 public | ossys_proc_out_t81             | foreign table | postgres
 public | ossys_product                  | foreign table | postgres
 public | ossys_publishing               | foreign table | postgres
 public | ossys_publishtrace             | foreign table | postgres
 public | ossys_r_metr_int_extrainfo     | foreign table | postgres
 public | ossys_recent_item              | foreign table | postgres
 public | ossys_recompilation_error_log  | foreign table | postgres
 public | ossys_recompilation_log        | foreign table | postgres
 public | ossys_report_espaceusa         | foreign table | postgres
 public | ossys_report_hour              | foreign table | postgres
 public | ossys_report_hourlyusa         | foreign table | postgres
 public | ossys_report_integration       | foreign table | postgres
 public | ossys_report_line              | foreign table | postgres
 public | ossys_report_metrics           | foreign table | postgres
 public | ossys_report_metrics_integ     | foreign table | postgres
 public | ossys_report_metrics_part      | foreign table | postgres
 public | ossys_report_slowextension     | foreign table | postgres
 public | ossys_report_slowquery         | foreign table | postgres
 public | ossys_report_slowscree         | foreign table | postgres
 public | ossys_report_slowsql           | foreign table | postgres
 public | ossys_report_slowtimer         | foreign table | postgres
 public | ossys_report_slowwebse         | foreign table | postgres
 public | ossys_report_su                | foreign table | postgres
 public | ossys_report_toperrors         | foreign table | postgres
 public | ossys_report_type              | foreign table | postgres
 public | ossys_report_type_ui           | foreign table | postgres
 public | ossys_rest_expose              | foreign table | postgres
 public | ossys_rest_web_reference       | foreign table | postgres
 public | ossys_role                     | foreign table | postgres
 public | ossys_sapconfig                | foreign table | postgres
 public | ossys_security_object          | foreign table | postgres
 public | ossys_server                   | foreign table | postgres
 public | ossys_servicecenter_role       | foreign table | postgres
 public | ossys_servicecenter_user       | foreign table | postgres
 public | ossys_sessiontoken             | foreign table | postgres
